Building,Date,ExpId,SSID,Addr,RSSI
rdc,2021-05-25,2.1,uha,3890a54ca360,-84.0
rdc,2021-05-25,3.0,uha,3890a54ca360,-69.0
rdc,2021-05-25,3.0,uha,3890a5600b40,-77.0
rdc,2021-05-25,3.0,uha,3890a54ca360,-71.0
rdc,2021-05-25,3.0,uha,3890a5503e60,-96.0
rdc,2021-05-25,3.0,uha,3890a5505380,-92.0
rdc,2021-05-25,3.0,uha,3890a5600b40,-78.0
rdc,2021-05-25,3.0,uha,3890a54ca360,-68.0
rdc,2021-05-25,3.0,uha,3890a5505380,-92.0
rdc,2021-05-25,3.0,uha,3890a5505380,-90.0
rdc,2021-05-25,3.0,uha,3890a54ca360,-65.0
rdc,2021-05-25,3.0,uha,3890a54ca360,-66.0
rdc,2021-05-25,3.0,uha,3890a5600b40,-78.0
rdc,2021-05-25,3.0,uha,3890a5505380,-89.0
rdc,2021-05-25,3.0,uha,3890a5600b40,-78.0
rdc,2021-05-25,3.0,uha,3890a54ca360,-70.0
rdc,2021-05-25,3.0,uha,3890a54ca360,-70.0
rdc,2021-05-25,3.0,uha,3890a5600b40,-79.0
rdc,2021-05-25,3.0,uha,3890a54ca360,-66.0
rdc,2021-05-25,3.0,uha,3890a5600b40,-79.0
rdc,2021-05-25,3.0,uha,3890a54ca360,-67.0
rdc,2021-05-25,3.0,uha,3890a5503e60,-95.0
rdc,2021-05-25,3.0,uha,3890a5505380,-91.0
rdc,2021-05-25,3.0,uha,3890a54ca360,-68.0
rdc,2021-05-25,3.0,uha,3890a5505380,-93.0
rdc,2021-05-25,3.0,uha,3890a5503e60,-94.0
rdc,2021-05-25,3.0,uha,3890a54ca360,-66.0
rdc,2021-05-25,3.0,uha,3890a5503e60,-94.0
rdc,2021-05-25,3.0,uha,3890a5505380,-90.0
rdc,2021-05-25,3.0,uha,3890a5600b40,-79.0
rdc,2021-05-25,3.0,uha,3890a5600b40,-79.0
rdc,2021-05-25,3.0,uha,3890a5505380,-90.0
rdc,2021-05-25,3.0,uha,3890a5600b40,-79.0
rdc,2021-05-25,3.0,uha,3890a54ca360,-68.0
rdc,2021-05-25,3.0,uha,3890a5600b40,-78.0
rdc,2021-05-25,3.1,uha,3890a54ca360,-60.0
rdc,2021-05-25,3.1,uha,3890a5505380,-83.0
rdc,2021-05-25,3.1,uha,3890a5600b40,-87.0
rdc,2021-05-25,3.1,uha,3890a54ca360,-62.0
rdc,2021-05-25,3.1,uha,3890a5600b40,-89.0
rdc,2021-05-25,3.1,uha,3890a5600b40,-87.0
rdc,2021-05-25,3.1,uha,3890a5505380,-82.0
rdc,2021-05-25,3.1,uha,3890a5600b40,-86.0
rdc,2021-05-25,3.1,uha,3890a54ca360,-61.0
rdc,2021-05-25,3.1,uha,3890a5505380,-84.0
rdc,2021-05-25,3.1,uha,3890a5600b40,-88.0
rdc,2021-05-25,3.1,uha,3890a54ca360,-60.0
rdc,2021-05-25,3.1,uha,3890a5505380,-82.0
rdc,2021-05-25,3.1,uha,3890a5505380,-82.0
rdc,2021-05-25,3.1,uha,3890a5505380,-81.0
rdc,2021-05-25,3.1,uha,3890a5600b40,-82.0
rdc,2021-05-25,3.1,uha,3890a5503e60,-94.0
rdc,2021-05-25,3.1,uha,3890a54ca360,-59.0
rdc,2021-05-25,3.1,uha,3890a5505380,-83.0
rdc,2021-05-25,3.1,uha,3890a5600b40,-86.0
rdc,2021-05-25,3.1,uha,3890a54ca360,-58.0
rdc,2021-05-25,3.1,uha,3890a5600b40,-86.0
rdc,2021-05-25,3.1,uha,3890a5600b40,-90.0
rdc,2021-05-25,3.1,uha,3890a54ca360,-61.0
rdc,2021-05-25,3.1,uha,3890a5505380,-81.0
rdc,2021-05-25,3.1,uha,3890a5600b40,-89.0
rdc,2021-05-25,3.1,uha,3890a54ca360,-59.0
rdc,2021-05-25,3.1,uha,3890a5505380,-82.0
rdc,2021-05-25,3.1,uha,3890a54ca360,-60.0
rdc,2021-05-25,3.1,uha,3890a54ca360,-60.0
rdc,2021-05-25,4.0,uha,3890a5503e60,-91.0
rdc,2021-05-25,4.0,uha,3890a54ca360,-59.0
rdc,2021-05-25,4.0,uha,3890a5600b40,-75.0
rdc,2021-05-25,4.0,uha,3890a54ca360,-57.0
rdc,2021-05-25,4.0,uha,3890a5600b40,-79.0
rdc,2021-05-25,4.0,uha,3890a5503e60,-95.0
rdc,2021-05-25,4.0,uha,3890a54ca360,-57.0
rdc,2021-05-25,4.0,uha,3890a5600b40,-79.0
rdc,2021-05-25,4.0,uha,3890a5503e60,-91.0
rdc,2021-05-25,4.0,uha,3890a5600b40,-74.0
rdc,2021-05-25,4.0,uha,3890a54ca360,-58.0
rdc,2021-05-25,4.0,uha,3890a5600b40,-78.0
rdc,2021-05-25,4.0,uha,3890a5503e60,-94.0
rdc,2021-05-25,4.0,uha,3890a5573840,-95.0
rdc,2021-05-25,4.0,uha,3890a54ca360,-59.0
rdc,2021-05-25,4.0,uha,3890a5600b40,-77.0
rdc,2021-05-25,4.0,uha,3890a5503e60,-94.0
rdc,2021-05-25,4.0,uha,3890a54ca360,-59.0
rdc,2021-05-25,4.0,uha,3890a5503e60,-98.0
rdc,2021-05-25,4.0,uha,3890a54ca360,-57.0
rdc,2021-05-25,4.0,uha,3890a5600b40,-79.0
rdc,2021-05-25,4.0,uha,3890a5503e60,-96.0
rdc,2021-05-25,4.0,uha,3890a5505380,-96.0
rdc,2021-05-25,4.0,uha,3890a54ca360,-60.0
rdc,2021-05-25,4.0,uha,3890a5600b40,-78.0
rdc,2021-05-25,4.0,uha,3890a5600b40,-79.0
rdc,2021-05-25,4.0,uha,3890a54ca360,-57.0
rdc,2021-05-25,4.0,uha,3890a54ca360,-57.0
rdc,2021-05-25,4.0,uha,3890a5600b40,-79.0
rdc,2021-05-25,4.0,uha,3890a5503e60,-94.0
rdc,2021-05-25,4.0,uha,3890a5600b40,-79.0
rdc,2021-05-25,4.0,uha,3890a5503e60,-92.0
rdc,2021-05-25,4.0,uha,3890a54ca360,-57.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-54.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-54.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-53.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-54.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-54.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-55.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-55.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-53.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-55.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-53.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-53.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-53.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-54.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-54.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-53.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-54.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-53.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-58.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-55.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-55.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-56.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-58.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-58.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-57.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-57.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-57.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-57.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-54.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-55.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-54.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-53.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-56.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-54.0
rdc,2021-05-25,4.1,uha,3890a54ca360,-56.0
rdc,2021-05-25,5.0,uha,3890a5505380,-83.0
rdc,2021-05-25,5.0,uha,3890a5600b40,-84.0
rdc,2021-05-25,5.0,uha,3890a5503e60,-85.0
rdc,2021-05-25,5.0,uha,3890a5298a00,-92.0
rdc,2021-05-25,5.0,uha,3890a549a1e0,-94.0
rdc,2021-05-25,5.0,uha,3890a54ca360,-55.0
rdc,2021-05-25,5.0,uha,3890a5505380,-84.0
rdc,2021-05-25,5.0,uha,3890a5600b40,-84.0
rdc,2021-05-25,5.0,uha,3890a5503e60,-84.0
rdc,2021-05-25,5.0,uha,3890a54ca360,-54.0
rdc,2021-05-25,5.0,uha,3890a5505380,-86.0
rdc,2021-05-25,5.0,uha,3890a54ca360,-55.0
rdc,2021-05-25,5.0,uha,3890a5503e60,-83.0
rdc,2021-05-25,5.0,uha,3890a5505380,-84.0
rdc,2021-05-25,5.0,uha,3890a5600b40,-86.0
rdc,2021-05-25,5.0,uha,3890a54ca360,-55.0
rdc,2021-05-25,5.0,uha,3890a5503e60,-84.0
rdc,2021-05-25,5.0,uha,3890a5600b40,-85.0
rdc,2021-05-25,5.0,uha,3890a5505380,-88.0
rdc,2021-05-25,5.0,uha,3890a5573840,-91.0
rdc,2021-05-25,5.0,uha,3890a549a1e0,-96.0
rdc,2021-05-25,5.0,uha,3890a54ca360,-55.0
rdc,2021-05-25,5.0,uha,3890a5505380,-81.0
rdc,2021-05-25,5.0,uha,3890a5503e60,-86.0
rdc,2021-05-25,5.0,uha,3890a5600b40,-86.0
rdc,2021-05-25,5.0,uha,3890a5573840,-88.0
rdc,2021-05-25,5.0,uha,3890a549a1e0,-94.0
rdc,2021-05-25,5.0,uha,3890a549a1e0,-93.0
rdc,2021-05-25,5.0,uha,3890a5600b40,-85.0
rdc,2021-05-25,5.0,uha,3890a54ca360,-52.0
rdc,2021-05-25,5.0,uha,3890a5505380,-85.0
rdc,2021-05-25,5.0,uha,3890a5503e60,-85.0
rdc,2021-05-25,5.0,uha,3890a5600b40,-85.0
rdc,2021-05-25,5.0,uha,3890a5503e60,-81.0
rdc,2021-05-25,5.0,uha,3890a54ca360,-57.0
rdc,2021-05-25,5.0,uha,3890a549a1e0,-94.0
rdc,2021-05-25,5.0,uha,3890a5573840,-93.0
rdc,2021-05-25,5.1,uha,3890a5505380,-82.0
rdc,2021-05-25,5.1,uha,3890a54ca360,-70.0
rdc,2021-05-25,5.1,uha,3890a5600b40,-90.0
rdc,2021-05-25,5.1,uha,3890a5573840,-94.0
rdc,2021-05-25,5.1,uha,3890a5298a00,-93.0
rdc,2021-05-25,5.1,uha,3890a5600b40,-92.0
rdc,2021-05-25,5.1,uha,3890a5505380,-83.0
rdc,2021-05-25,5.1,uha,3890a54ca360,-58.0
rdc,2021-05-25,5.1,uha,3890a5298a00,-96.0
rdc,2021-05-25,5.1,uha,3890a5298a00,-95.0
rdc,2021-05-25,5.1,uha,3890a5573840,-93.0
rdc,2021-05-25,5.1,uha,3890a5600b40,-90.0
rdc,2021-05-25,5.1,uha,3890a5505380,-82.0
rdc,2021-05-25,5.1,uha,3890a54ca360,-62.0
rdc,2021-05-25,5.1,uha,3890a5573840,-95.0
rdc,2021-05-25,5.1,uha,3890a5503e60,-94.0
rdc,2021-05-25,5.1,uha,3890a5298a00,-94.0
rdc,2021-05-25,5.1,uha,3890a5298a00,-93.0
rdc,2021-05-25,5.1,uha,3890a5573840,-90.0
rdc,2021-05-25,5.1,uha,3890a5505380,-83.0
rdc,2021-05-25,5.1,uha,3890a54ca360,-60.0
rdc,2021-05-25,5.1,uha,3890a54ca360,-63.0
rdc,2021-05-25,5.1,uha,3890a5298a00,-94.0
rdc,2021-05-25,5.1,uha,3890a5573840,-92.0
rdc,2021-05-25,5.1,uha,3890a5505380,-82.0
rdc,2021-05-25,5.1,uha,3890a54ca360,-60.0
rdc,2021-05-25,5.1,uha,3890a5573840,-93.0
rdc,2021-05-25,5.1,uha,3890a5505380,-85.0
rdc,2021-05-25,5.1,uha,3890a54ca360,-61.0
rdc,2021-05-25,5.1,uha,3890a5573840,-94.0
rdc,2021-05-25,5.1,uha,3890a5505380,-84.0
rdc,2021-05-25,5.1,uha,3890a5600b40,-88.0
rdc,2021-05-25,5.1,uha,3890a5298a00,-92.0
rdc,2021-05-25,5.1,uha,3890a5503e60,-91.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-64.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-64.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-66.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-63.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-63.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-64.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-64.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-63.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-63.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-64.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-65.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-63.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-67.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-64.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-62.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-64.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-64.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-64.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-65.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-64.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-67.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-66.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-67.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-64.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-65.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-65.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-65.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-65.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-63.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-66.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-62.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-65.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-66.0
rdc,2021-05-25,5.2,uha,3890a54ca360,-67.0
rdc,2021-05-25,6.0,uha,3890a5298a00,-93.0
rdc,2021-05-25,6.0,uha,3890a549a1e0,-93.0
rdc,2021-05-25,6.0,uha,3890a54ca360,-73.0
rdc,2021-05-25,6.0,uha,3890a5600b40,-89.0
rdc,2021-05-25,6.0,uha,3890a5503e60,-87.0
rdc,2021-05-25,6.0,uha,3890a5600b40,-91.0
rdc,2021-05-25,6.0,uha,3890a5298a00,-92.0
rdc,2021-05-25,6.0,uha,3890a5573840,-92.0
rdc,2021-05-25,6.0,uha,3890a5573840,-89.0
rdc,2021-05-25,6.0,uha,3890a5503e60,-85.0
rdc,2021-05-25,6.0,uha,3890a5503e60,-93.0
rdc,2021-05-25,6.0,uha,3890a5503e60,-87.0
rdc,2021-05-25,6.0,uha,3890a5600b40,-89.0
rdc,2021-05-25,6.0,uha,3890a5573840,-93.0
rdc,2021-05-25,6.0,uha,3890a5505380,-93.0
rdc,2021-05-25,6.0,uha,3890a5298a00,-94.0
rdc,2021-05-25,6.0,uha,3890a549a1e0,-96.0
rdc,2021-05-25,6.0,uha,3890a54ca360,-73.0
rdc,2021-05-25,6.0,uha,3890a549a1e0,-96.0
rdc,2021-05-25,6.0,uha,3890a54ca360,-74.0
rdc,2021-05-25,6.0,uha,3890a5503e60,-94.0
rdc,2021-05-25,6.0,uha,3890a5298a00,-95.0
rdc,2021-05-25,6.0,uha,3890a549a1e0,-93.0
rdc,2021-05-25,6.0,uha,3890a5573840,-91.0
rdc,2021-05-25,6.0,uha,3890a5298a00,-91.0
rdc,2021-05-25,6.0,uha,3890a5505380,-86.0
rdc,2021-05-25,6.0,uha,3890a54ca360,-72.0
rdc,2021-05-25,6.0,uha,3890a5600b40,-92.0
rdc,2021-05-25,6.0,uha,3890a549a1e0,-93.0
rdc,2021-05-25,6.0,uha,3890a5573840,-90.0
rdc,2021-05-25,6.0,uha,3890a5600b40,-91.0
rdc,2021-05-25,6.0,uha,3890a54ca360,-74.0
rdc,2021-05-25,6.0,uha,3890a5600b40,-89.0
rdc,2021-05-25,6.0,uha,3890a5503e60,-90.0
rdc,2021-05-25,6.0,uha,3890a5573840,-91.0
rdc,2021-05-25,6.0,uha,3890a5298a00,-92.0
rdc,2021-05-25,6.0,uha,3890a549a1e0,-93.0
rdc,2021-05-25,6.0,uha,3890a5505380,-88.0
rdc,2021-05-25,6.0,uha,3890a54ca360,-74.0
rdc,2021-05-25,6.1,uha,3890a5298a00,-94.0
rdc,2021-05-25,6.1,uha,3890a549a1e0,-93.0
